,area_type,location,BHK,total_sqft,bath,balcony,price_in_lakhs
0,Super built-up  Area,1st Block Jayanagar,4,2850.0,4.0,1.0,428.0
1,Super built-up  Area,1st Block Jayanagar,3,1630.0,3.0,2.0,194.0
2,Super built-up  Area,1st Block Jayanagar,3,1875.0,2.0,3.0,235.0
3,Built-up  Area,1st Block Jayanagar,3,1200.0,2.0,0.0,130.0
4,Super built-up  Area,1st Block Jayanagar,2,1235.0,2.0,2.0,148.0
5,Super built-up  Area,1st Block Jayanagar,4,2750.0,4.0,0.0,413.0
6,Super built-up  Area,1st Block Jayanagar,4,2450.0,4.0,2.0,368.0
8,Super built-up  Area,1st Phase JP Nagar,3,1875.0,3.0,1.0,167.0
9,Built-up  Area,1st Phase JP Nagar,5,1500.0,5.0,2.0,85.0
10,Super built-up  Area,1st Phase JP Nagar,3,2065.0,4.0,1.0,210.0
12,Super built-up  Area,1st Phase JP Nagar,3,2059.0,3.0,2.0,225.0
13,Super built-up  Area,1st Phase JP Nagar,2,1394.0,2.0,1.0,100.0
14,Super built-up  Area,1st Phase JP Nagar,2,1077.0,2.0,2.0,93.0
15,Plot  Area,1st Phase JP Nagar,2,1566.0,2.0,0.0,180.0
16,Built-up  Area,1st Phase JP Nagar,1,840.0,2.0,2.0,50.0
17,Super built-up  Area,1st Phase JP Nagar,3,1590.0,3.0,3.0,131.0
18,Super built-up  Area,1st Phase JP Nagar,3,2180.0,3.0,2.0,210.0
19,Super built-up  Area,1st Phase JP Nagar,2,1180.0,2.0,2.0,88.5
20,Super built-up  Area,1st Phase JP Nagar,2,1200.0,2.0,2.0,86.0
21,Built-up  Area,1st Phase JP Nagar,2,1394.0,2.0,2.0,85.0
22,Super built-up  Area,1st Phase JP Nagar,3,2077.0,3.0,3.0,175.0
24,Super built-up  Area,1st Phase JP Nagar,2,1205.0,2.0,1.0,85.0
26,Super built-up  Area,1st Phase JP Nagar,2,900.0,2.0,1.0,75.0
27,Super built-up  Area,2nd Phase Judicial Layout,3,1450.0,2.0,1.0,50.75
28,Super built-up  Area,2nd Phase Judicial Layout,2,1150.0,2.0,1.0,40.25
29,Super built-up  Area,2nd Phase Judicial Layout,3,1350.0,2.0,2.0,47.25
30,Super built-up  Area,2nd Phase Judicial Layout,3,1350.0,2.0,2.0,47.25
31,Super built-up  Area,2nd Phase Judicial Layout,2,900.0,2.0,2.0,41.0
32,Super built-up  Area,2nd Phase Judicial Layout,3,1681.0,3.0,3.0,69.0
33,Super built-up  Area,2nd Phase Judicial Layout,3,1350.0,2.0,2.0,47.25
34,Super built-up  Area,2nd Phase Judicial Layout,2,1150.0,2.0,1.0,40.25
35,Plot  Area,2nd Stage Nagarbhavi,4,1500.0,4.0,2.0,220.0
36,Plot  Area,2nd Stage Nagarbhavi,6,3000.0,8.0,3.0,451.0
37,Plot  Area,2nd Stage Nagarbhavi,6,2400.0,8.0,3.0,450.0
38,Plot  Area,2nd Stage Nagarbhavi,4,1350.0,4.0,1.0,200.0
39,Plot  Area,2nd Stage Nagarbhavi,4,1200.0,4.0,1.0,225.0
40,Plot  Area,2nd Stage Nagarbhavi,4,1500.0,3.0,2.0,230.0
41,Super built-up  Area,5th Block Hbr Layout,2,1206.0,2.0,2.0,56.0
42,Super built-up  Area,5th Block Hbr Layout,3,1270.0,2.0,2.0,70.0
43,Super built-up  Area,5th Block Hbr Layout,2,1312.0,2.0,3.0,69.0
44,Super built-up  Area,5th Block Hbr Layout,2,1100.0,2.0,2.0,48.0
45,Built-up  Area,5th Block Hbr Layout,5,3600.0,5.0,3.0,130.0
46,Built-up  Area,5th Block Hbr Layout,6,5100.0,5.0,3.0,300.0
47,Super built-up  Area,5th Phase JP Nagar,2,1075.0,2.0,2.0,60.0
48,Built-up  Area,5th Phase JP Nagar,2,1150.0,3.0,3.0,52.5
49,Built-up  Area,5th Phase JP Nagar,2,1256.0,2.0,1.0,62.8
50,Super built-up  Area,5th Phase JP Nagar,2,1207.0,2.0,2.0,63.0
51,Built-up  Area,5th Phase JP Nagar,3,1725.0,2.0,2.0,100.0
52,Super built-up  Area,5th Phase JP Nagar,2,1440.0,2.0,2.0,60.0
53,Built-up  Area,5th Phase JP Nagar,3,1700.0,2.0,3.0,100.0
55,Super built-up  Area,5th Phase JP Nagar,5,2500.0,5.0,2.0,110.0
56,Built-up  Area,5th Phase JP Nagar,1,600.0,1.0,1.0,30.0
57,Super built-up  Area,5th Phase JP Nagar,2,1390.0,2.0,2.0,65.0
58,Built-up  Area,5th Phase JP Nagar,2,1256.0,2.0,1.0,62.8
59,Super built-up  Area,5th Phase JP Nagar,2,1000.0,2.0,0.0,48.0
60,Super built-up  Area,5th Phase JP Nagar,3,1350.0,2.0,1.0,75.0
61,Super built-up  Area,5th Phase JP Nagar,1,552.0,1.0,1.0,23.5
62,Super built-up  Area,5th Phase JP Nagar,2,1200.0,2.0,2.0,51.0
66,Built-up  Area,5th Phase JP Nagar,2,1030.0,2.0,2.0,57.0
67,Super built-up  Area,5th Phase JP Nagar,2,1200.0,2.0,1.0,68.0
68,Built-up  Area,5th Phase JP Nagar,2,1190.0,2.0,2.0,61.8
69,Super built-up  Area,5th Phase JP Nagar,5,4000.0,5.0,2.0,170.0
70,Super built-up  Area,5th Phase JP Nagar,2,1080.0,2.0,1.0,53.0
71,Super built-up  Area,5th Phase JP Nagar,2,1041.0,2.0,2.0,54.0
72,Super built-up  Area,5th Phase JP Nagar,2,812.0,2.0,1.0,42.0
73,Built-up  Area,5th Phase JP Nagar,2,1010.0,2.0,2.0,57.0
75,Super built-up  Area,5th Phase JP Nagar,2,1075.0,2.0,2.0,60.0
76,Super built-up  Area,6th Phase JP Nagar,2,1192.0,2.0,2.0,74.0
77,Super built-up  Area,6th Phase JP Nagar,2,1180.0,2.0,3.0,80.0
78,Super built-up  Area,6th Phase JP Nagar,4,3245.0,4.0,2.0,250.0
79,Built-up  Area,6th Phase JP Nagar,3,1645.0,3.0,3.0,100.0
80,Built-up  Area,6th Phase JP Nagar,2,1140.0,2.0,2.0,65.0
81,Super built-up  Area,6th Phase JP Nagar,3,2040.0,3.0,2.0,200.0
82,Super built-up  Area,6th Phase JP Nagar,2,1213.0,2.0,1.0,63.0
83,Built-up  Area,6th Phase JP Nagar,2,1216.0,2.0,2.0,60.0
84,Super built-up  Area,6th Phase JP Nagar,2,1460.0,2.0,2.0,80.0
85,Super built-up  Area,6th Phase JP Nagar,3,2003.0,3.0,3.0,200.0
86,Super built-up  Area,6th Phase JP Nagar,3,1810.0,3.0,3.0,131.0
87,Super built-up  Area,6th Phase JP Nagar,3,1515.0,2.0,2.0,135.0
88,Super built-up  Area,6th Phase JP Nagar,2,1192.0,2.0,3.0,75.0
89,Super built-up  Area,6th Phase JP Nagar,2,1280.0,2.0,1.0,88.0
90,Built-up  Area,7th Phase JP Nagar,2,1080.0,2.0,2.0,72.0
91,Super built-up  Area,7th Phase JP Nagar,2,1270.0,2.0,2.0,93.0
92,Built-up  Area,7th Phase JP Nagar,3,1420.0,2.0,1.0,100.0
93,Built-up  Area,7th Phase JP Nagar,3,1850.0,3.0,1.0,150.0
94,Built-up  Area,7th Phase JP Nagar,2,1245.0,2.0,1.0,94.0
95,Super built-up  Area,7th Phase JP Nagar,2,1175.0,2.0,1.0,82.0
96,Super built-up  Area,7th Phase JP Nagar,3,1400.0,2.0,1.0,95.0
97,Super built-up  Area,7th Phase JP Nagar,3,2225.0,3.0,1.0,160.0
98,Built-up  Area,7th Phase JP Nagar,2,1050.0,2.0,1.0,71.0
